OS_NM,NEW_ADR,POLL_DIV_CD,GIS_X_COOR,GIS_Y_COOR,LAT,LNG,PRICE_B027,PRICE_D047,PRICE_K015,PRICE_B034,PRICE_C004,UNI_ID
운천주유소,광주 서구 상무대로 758,HDO,295079.0,283541.0,35.14248467286941,126.84857345908071,,,,,,A0020680
대광주유소,광주 서구 하남대로 556 (동천동),GSC,295748.2304,286672.1502,35.1707743472901,126.85552122766262,1639.0,1519.0,,,1600.0,A0019726
시민주유소,광주 서구 눌재로 328,GSC,293078.0,279735.0,35.107971877748184,126.82711001992445,1668.0,1548.0,,,1500.0,A0020175
(주)일프로주유소,광주 서구 운천로 206 (치평동),HDO,295962.6148,284185.8002,35.14838782558413,126.85818755215068,1675.0,1564.0,,1937.0,,A0020561
풍암대림주유소,광주 서구 풍서좌로 83 (매월동),SOL,296171.7,280837.0,35.1182275266919,126.86090234241686,1675.0,1564.0,,,,A0020215
매월유통단지주유소,광주 서구 회재로 746 (매월동),HDO,295402.0,280084.0,35.11136128093914,126.85255464523195,1679.0,1567.0,,,1500.0,A0020227
대동에너지주유소,광주 서구 회재로 783,HDO,295655.51578,280316.26886,35.11348095593201,126.85530595322044,1679.0,1569.0,,,,A0020700
가람주유소,광주 서구 상무대로1206번길 3 (농성동),SOL,299365.76714,284609.19692,35.152550009733666,126.8954793703454,1695.0,1545.0,,,,A0019802
상록주유소,광주 서구 상무대로 1180,HDO,299120.91417,284508.63234,35.15161911249932,126.89280468883814,1695.0,1565.0,,1925.0,,A0020216
컨벤션주유소,광주 서구 상무대로 714,SOL,294709.20219,283328.24093,35.14052851545938,126.84454304941347,,,,,,A0019758
청정이엔지 (주)주유소,광주 서구 상무자유로 18,GSC,294143.40685,284214.4383,35.14845615553153,126.8382216586652,1728.0,1598.0,,1998.0,,A0020465
부경LPG충전소,광주 광산구 동곡로 542 (장록동),SKE,288688.7,281912.9,35.12712486007786,126.77867781651949,,,1034.0,,,A0020294
SK행복충전 제일에너지충전소 동곡점,광주 광산구 동곡로 123,SKG,288279.0,278028.0,35.092066802546334,126.77470770093788,,,1044.0,,,A0020669
동일가스㈜,광주 광산구 동곡로 456,GSC,288920.79186,281173.87332,35.12049000984154,126.78132307169227,,,1044.0,,,A0032897
